
       1	   2	  54	 127	 211	 120
       1	   2	  54	 125	 210	 116
       1	   2	  59	 123	 211	 118
       1	   2	  65	 124	 208	 118
       1	   2	  75	 120	 203	 114
       1	   2	  76	 113	 200	 108
       1	   2	  80	 113	 195	 106
       1	   2	  79	 112	 197	 106
       1	   2	  76	 112	 201	 108
       1	   2	  67	 114	 206	 110
       1	   2	  78	 109	 197	 104
       1	   2	  75	  90	 190	  97
       1	   2	  53	 125	 223	 131
       1	   2	  58	 111	 225	 121
       1	   2	  54	 117	 217	 118
       1	   2	  60	 122	 213	 120
       1	   2	  54	 128	 210	 119
       1	   2	  58	 128	 208	 119
       1	   2	  59	 126	 208	 117
       1	   2	  65	 120	 205	 112
       1	   2	  69	 118	 202	 110
       1	   2	  70	 115	 204	 110
       1	   2	  86	 106	 190	 102
       1	   2	 113	  76	 144	 103
       1	   2	  52	 124	 223	 129
       1	   2	  53	 116	 226	 125
       1	   2	  53	 115	 226	 123
       1	   2	  49	 115	 223	 118
       1	   2	  50	 120	 221	 120
       1	   2	  54	 127	 219	 127
       1	   2	  55	 132	 213	 126
       1	   2	  56	 130	 208	 120
       1	   2	  60	 125	 207	 116
       1	   2	  67	 119	 207	 114
       1	   2	  75	 115	 197	 107
       1	   2	 118	  87	 156	 101
       1	   2	  56	 125	 223	 132
       1	   2	  60	 117	 227	 130
       1	   2	  56	 110	 228	 122
       1	   2	  48	 103	 223	 109
       1	   2	  51	 105	 215	 107
       1	   2	  59	 113	 212	 111
       1	   2	  64	 130	 205	 120
       1	   2	  73	 128	 203	 122
       1	   2	  67	 129	 204	 120
       1	   2	  69	 123	 203	 114
       1	   2	  84	 108	 195	 106
       1	   2	 108	  82	 159	  99
       1	   2	  53	 116	 226	 125
       1	   2	  47	 119	 228	 127
       1	   2	  52	 116	 228	 126
       1	   2	  52	 106	 229	 118
       1	   2	  48	 109	 226	 116
       1	   2	  52	 122	 220	 122
       1	   2	  51	 129	 211	 121
       1	   2	  61	 137	 203	 123
       1	   2	  56	 150	 195	 126
       1	   2	  76	 127	 201	 120
